1, 10, 0, 1, 22
2, 1, 2, 12, 15
3, 26, 7, 9, 13
4, 16, 9, 24, 19
5, 17, 5, 7, 13
6, 27, 7, 2, 11
7, 12, 2, 28, 19
8, 24, 2, 12, 19
9, 5, 14, 19, 11
10, 27, 10, 16, 13
11, 30, 9, 12, 15
12, 16, 9, 7, 13
13, 0, 5, 16, 10
14, 12, 14, 16, 24
15, 6, 8, 5, 0
16, 28, 14, 2, 0
17, 26, 14, 29, 10
18, 26, 9, 19, 5
19, 20, 0, 18, 0
20, 24, 6, 7, 16
21, 26, 4, 0, 24
22, 18, 8, 24, 18
23, 24, 6, 7, 15
24, 21, 5, 2, 16
25, 0, 7, 28, 24
26, 8, 12, 28, 5
27, 29, 2, 15, 0
28, 26, 5, 25, 15
29, 17, 11, 24, 19
30, 0, 13, 16, 5
31, 18, 11, 15, 2
32, 4, 1, 0, 2
33, 23, 5, 0, 2
34, 3, 10, 23, 5
35, 8, 13, 5, 14
36, 22, 3, 18, 19
37, 10, 7, 29, 13
38, 17, 5, 20, 17
39, 20, 1, 22, 17
40, 10, 10, 7, 8
41, 29, 9, 28, 9
42, 3, 14, 2, 4
43, 30, 8, 20, 15
44, 18, 9, 29, 12
45, 1, 13, 21, 20
46, 14, 10, 21, 9
47, 30, 7, 16, 12
48, 11, 13, 30, 19
49, 2, 9, 17, 1
50, 1, 15, 7, 2
51, 9, 2, 30, 24
52, 8, 14, 14, 5
53, 9, 14, 8, 24
54, 0, 14, 27, 9
55, 15, 13, 28, 17
56, 28, 13, 2, 1
57, 8, 9, 21, 1
58, 27, 3, 19, 24
59, 11, 9, 23, 20
60, 3, 9, 25, 23
61, 3, 13, 6, 9
62, 30, 8, 28, 5
63, 6, 4, 10, 25
64, 9, 9, 6, 1
65, 5, 9, 17, 12
66, 3, 14, 20, 23
67, 9, 3, 27, 10
68, 24, 0, 4, 14
69, 5, 2, 8, 1
70, 3, 13, 20, 19
71, 18, 0, 6, 13
72, 19, 13, 30, 9
73, 0, 8, 24, 16
74, 5, 15, 8, 2
75, 16, 10, 2, 6
76, 14, 11, 26, 22
77, 1, 0, 19, 24
78, 4, 1, 10, 20
79, 6, 13, 26, 12
80, 7, 12, 10, 20
81, 9, 15, 5, 17
82, 7, 7, 15, 23
83, 25, 8, 25, 10
84, 21, 15, 8, 25
85, 28, 14, 30, 17
86, 1, 14, 16, 21
87, 7, 11, 27, 8
88, 30, 0, 2, 15
89, 27, 15, 12, 12
90, 30, 15, 12, 24
91, 12, 4, 23, 13
92, 2, 15, 26, 13
93, 30, 7, 21, 3
94, 1, 0, 25, 21
95, 27, 15, 4, 7
96, 26, 4, 13, 7
97, 10, 2, 2, 13
98, 19, 3, 21, 18
99, 14, 14, 14, 20
100, 28, 4, 27, 23
101, 21, 0, 29, 24
102, 4, 4, 3, 22
103, 14, 8, 3, 17
104, 21, 15, 4, 7
105, 30, 12, 29, 22
106, 16, 4, 6, 5
107, 28, 12, 2, 5
108, 0, 6, 6, 19
109, 1, 8, 10, 24
110, 5, 14, 0, 10
111, 28, 5, 6, 24
112, 24, 0, 16, 13
113, 19, 11, 5, 7
114, 3, 7, 17, 19
115, 11, 9, 9, 0
116, 25, 11, 17, 13
117, 20, 14, 0, 2
118, 26, 14, 3, 10
119, 15, 8, 19, 18
120, 4, 10, 16, 2
121, 29, 13, 28, 25
122, 29, 2, 14, 23
123, 24, 7, 11, 16
124, 5, 0, 0, 8
125, 13, 10, 1, 17
126, 30, 14, 29, 7
127, 28, 11, 25, 22
128, 5, 6, 0, 19
129, 16, 11, 17, 0
130, 17, 8, 9, 5
131, 19, 15, 9, 18
132, 26, 14, 6, 7
133, 29, 2, 23, 4
134, 28, 11, 11, 23
135, 24, 8, 20, 13
136, 0, 10, 20, 16
137, 30, 2, 12, 0
138, 15, 7, 20, 4
139, 9, 4, 22, 6
140, 28, 7, 11, 10
141, 14, 0, 0, 7
142, 27, 7, 11, 7
143, 11, 2, 9, 3
144, 11, 2, 18, 5
145, 7, 2, 2, 7
146, 14, 3, 13, 19
147, 13, 3, 0, 8
148, 24, 15, 11, 12
149, 1, 0, 11, 20
150, 23, 15, 30, 15
151, 23, 14, 17, 4
152, 6, 14, 30, 3
153, 27, 9, 22, 6
154, 21, 14, 2, 0
155, 1, 6, 11, 2
156, 28, 8, 14, 25
157, 18, 9, 4, 0
158, 2, 4, 22, 7
159, 5, 9, 3, 17
160, 24, 2, 5, 9
161, 13, 9, 20, 11
162, 5, 6, 23, 4
163, 0, 2, 2, 10
164, 3, 2, 20, 20
165, 24, 12, 29, 11
166, 9, 12, 0, 21
167, 4, 15, 24, 22
168, 23, 12, 26, 21
169, 1, 15, 2, 18
170, 30, 10, 13, 14
171, 16, 9, 11, 12
172, 25, 12, 20, 7
173, 16, 4, 28, 18
174, 9, 15, 12, 20
175, 16, 7, 30, 5
176, 2, 14, 13, 18
177, 22, 3, 3, 13
178, 1, 2, 4, 21
179, 8, 12, 25, 6
180, 1, 5, 0, 21
181, 26, 10, 6, 22
182, 10, 6, 12, 2
183, 14, 3, 25, 22
184, 25, 4, 16, 7
185, 5, 1, 3, 17
186, 7, 13, 14, 24
187, 19, 4, 17, 17
188, 19, 2, 29, 8
189, 1, 5, 13, 11
190, 12, 1, 23, 17
191, 5, 12, 20, 8
192, 4, 9, 26, 8
193, 15, 2, 15, 11
194, 2, 10, 10, 17
195, 15, 0, 28, 19
196, 22, 5, 10, 5
197, 2, 0, 1, 1
198, 30, 12, 20, 18
199, 5, 4, 23, 17
200, 8, 1, 4, 6
201, 24, 14, 18, 13
202, 4, 4, 16, 14
203, 1, 9, 26, 3
204, 23, 3, 0, 18
205, 19, 0, 24, 7
206, 23, 6, 27, 13
207, 10, 8, 21, 17
208, 6, 10, 20, 13
209, 29, 11, 3, 8
210, 11, 0, 16, 25
211, 28, 7, 23, 8
212, 19, 15, 28, 9
213, 8, 15, 25, 17
214, 5, 3, 21, 21
215, 29, 7, 22, 24
216, 10, 0, 10, 8
217, 8, 4, 28, 1
218, 1, 8, 25, 21
219, 29, 0, 25, 24
220, 17, 5, 7, 9
221, 9, 3, 29, 0
222, 4, 14, 6, 25
223, 0, 13, 6, 22
224, 29, 8, 10, 15
225, 30, 11, 16, 0
226, 5, 9, 3, 1
227, 7, 15, 7, 22
228, 15, 5, 1, 3
229, 15, 3, 23, 19
230, 16, 8, 9, 7
231, 6, 3, 14, 20
232, 21, 6, 28, 22
233, 6, 5, 28, 13
234, 28, 1, 28, 25
235, 18, 12, 6, 22
236, 13, 1, 18, 2
237, 1, 12, 14, 4
238, 1, 11, 7, 17
239, 12, 11, 9, 4
240, 16, 8, 28, 24
241, 19, 0, 14, 18
242, 14, 3, 30, 21
243, 26, 14, 1, 7
244, 22, 3, 15, 6
245, 16, 7, 23, 15
246, 11, 13, 13, 23
247, 3, 3, 26, 18
248, 7, 11, 10, 4
249, 0, 13, 15, 25
250, 20, 13, 16, 7
251, 4, 0, 9, 18
252, 22, 5, 17, 24
253, 3, 12, 30, 5
254, 3, 5, 23, 16
255, 22, 0, 25, 9
256, 20, 5, 17, 6
257, 8, 13, 26, 2
258, 4, 6, 28, 10
259, 22, 11, 25, 20
260, 6, 9, 24, 18
261, 27, 7, 24, 1
262, 13, 15, 21, 20
263, 28, 15, 4, 21
264, 25, 9, 9, 24
265, 27, 9, 28, 23
266, 7, 8, 11, 24
267, 20, 8, 20, 1
268, 19, 4, 1, 0
269, 25, 10, 9, 24
270, 15, 8, 13, 23
271, 26, 4, 16, 8
272, 6, 8, 0, 9
273, 18, 7, 21, 14
274, 18, 10, 12, 22
275, 16, 7, 14, 13
276, 23, 2, 30, 23
277, 4, 4, 25, 24
278, 18, 9, 13, 4
279, 17, 15, 23, 0
280, 16, 10, 16, 14
281, 9, 1, 8, 23
282, 23, 7, 5, 14
283, 18, 1, 24, 22
284, 13, 5, 12, 19
285, 1, 8, 13, 13
286, 12, 10, 25, 16
287, 2, 4, 18, 7
288, 14, 1, 12, 3
289, 24, 1, 9, 16
290, 21, 5, 1, 11
291, 10, 14, 17, 7
292, 29, 11, 2, 10
293, 18, 11, 29, 3
294, 26, 14, 25, 15
295, 9, 10, 7, 10
296, 23, 14, 13, 8
297, 23, 13, 5, 0
298, 10, 10, 18, 5
299, 29, 15, 17, 2
300, 9, 1, 11, 12
301, 21, 1, 23, 11
302, 22, 10, 15, 20
303, 23, 3, 28, 4
304, 1, 10, 27, 0
305, 1, 0, 27, 8
306, 8, 2, 21, 5
307, 27, 15, 3, 18
308, 30, 5, 30, 8
309, 26, 12, 28, 10
310, 25, 9, 5, 6
311, 23, 4, 29, 5
312, 1, 13, 19, 1
313, 30, 11, 13, 11
314, 19, 15, 2, 1
315, 10, 13, 1, 10
316, 22, 4, 19, 20
317, 24, 5, 5, 14
318, 26, 10, 18, 17
319, 3, 7, 7, 4
320, 27, 14, 27, 7
321, 6, 8, 18, 16
322, 8, 6, 16, 12
323, 9, 4, 19, 8
324, 17, 10, 5, 3
325, 3, 8, 8, 6
326, 9, 5, 13, 1
